(Occupied, Price, Music, Location, VIP, Favorite Beer, Enjoy)

01: 2, 1, 1, 0, 0, 0, No;
02: 2, 1, 1, 1, 1, 0, Yes;
03: 1, 1, 0, 1, 0, 1, Yes;
04: 1, 1, 0, 2, 0, 0, No;
05: 1, 1, 0, 2, 1, 1, Yes;
06: 1, 1, 0, 3, 0, 0, Yes;
07: 0, 1, 0, 3, 0, 0, No;
08: 1, 0, 1, 4, 0, 0, Yes;
09: 2, 1, 1, 1, 1, 1, Yes;
10: 0, 0, 0, 1, 0, 0, No;
11: 1, 0, 1, 0, 0, 1, No;
12: 0, 0, 0, 0, 1, 1, No;
13: 1, 1, 0, 4, 0, 1, Yes;
14: 2, 1, 1, 4, 1, 1, Yes;
15: 1, 1, 1, 3, 0, 1, Yes;
16: 2, 1, 0, 2, 0, 0, No;
17: 2, 0, 1, 1, 0, 0, Yes;
18: 0, 1, 0, 1, 0, 0, No;
19: 0, 1, 1, 4, 0, 0, No;
20: 1, 1, 0, 0, 0, 0, Yes;
21: 0, 1, 0, 1, 0, 0, Yes;
22: 0, 0, 1, 3, 1, 1, Yes;
